SENT	ITENS	FORMAS	RFI	MPAL	MPUN	VER	NOM	ADJ	DLEX	GÊNERO
4	56	47	83.93	12	2	10	11	6	60.87	horóscopo
153	3142	893	28.42	18	3	292	1077	199	61.43	bula
7	221	110	49.77	26	5	13	82	10	66.85	receita
88	1908	617	32.34	18	3	182	597	111	60.28	bula
4	45	38	84.44	9	2	6	12	3	69.44	horóscopo
95	2679	822	30.68	23	5	238	883	152	63.12	bula
3	34	30	88.24	10	2	3	13	2	62.96	horóscopo
1	283	74	26.15	275	8	64	54	0	48.63	música
1	174	67	38.51	168	6	41	40	7	61.11	música
93	1795	606	33.76	16	3	191	524	102	58.37	bula
4	67	54	80.6	15	2	11	15	1	45.61	horóscopo
79	1570	585	37.26	17	3	165	500	95	60.38	bula
107	2592	753	29.05	20	4	225	824	154	61.9	bula
11	146	80	54.79	12	1	22	49	1	58.97	música
77	1548	555	35.85	17	3	153	493	87	61.17	bula
3	55	47	85.45	17	1	14	8	3	56.0	horóscopo
